项目ID,项目名称,投资方向匹配,战略投资人,有相同投资行业,有相似投资行业
319,视频公司融资,0,0,0,0
318,中国互联网公司融资1,0,0,0,0
317,美国广告公司,0,0,0,0
316,中国互联网公司融资,0,0,0,0
315,中国互联网公司上市融资,0,0,0,0
314, 项目名称,0,0,0,0
313, ,0,0,0,773
312,131目名项目名称,0,0,0,773
311, 1234,0,0,0,773
310, ,0,159,0,550
309, ,0,0,0,44
308, ,0,0,0,207
307,中国国际互联网公司收购美国在线互联网广告,0,0,0,773
306,中国互联网公司收购美国在线互联网广告公司,0,0,0,773
305,中国互联网电商项目融资,0,0,0,0
304,美国互联网,3,12,0,6
303,美国互联网公司并购,1,27,0,775
302,bdzsfbxxxxxxllllllll,0,1,554,0
301,中国地产集团并购,0,0,1022,1
300,xxxxxxx,0,2,1,553
299,互联网细分行业并购,0,0,0,550
298,中国互联网巨头并购,0,0,0,550
297,中国互联网公司缤购,0,0,0,790
296,xa,0,0,0,1021
295,阿斯福东；sd,0,10,0,323
294,xalksdjals,0,23,0,790
293,saidj,0,95,0,470
292,askjhdpoa,0,68,0,1158
291,xxxxxxxxxx,0,361,0,1021
290,xxxx,0,1,0,1021
289,某移动互联网营销平台寻求融资1,0,0,0,554
288,fwefwef,0,1,0,553
287,gegr,0,0,0,778
286,23,0,1,0,553
285,fafaefg,0,0,0,790
284,3r3t3,0,1,0,553
283,金矿寻找开采伙伴111112,0,1,0,553
282,金矿寻找开采伙伴11111c,0,1,0,553
281,金矿寻找开采伙伴11111,0,1,0,553
280,金矿寻找开采伙伴11111,0,1,0,553
279,金矿寻找开采伙,0,1,0,553
278,金矿寻找开采伙伴11111,0,0,0,790
277,金矿寻找开采伙伴11111,0,0,0,790
276,金矿寻找开采伙伴11111323,0,0,0,1021
275,金矿寻找开采伙伴11111,0,171,0,554
274,abc,0,57,0,778
273,1111,0,1,0,553
272,newchama好项目,0,41,0,166
271,药厂收购,0,241,0,652
270,药厂收购,0,241,0,652
269,广东互联网公司,0,177,0,271
268,中国食品公司并购,0,177,0,271
267,2222,0,0,0,1021
266,232,0,26,0,790
265,xxx,0,68,0,1158
264,1,0,0,0,256
263,1,0,8,0,1021
262,互联网视频公司并购,0,5,0,778
261,x,0,2,0,554
260,xxx,0,0,0,1021
