汇星印刷,SEHK,港交所,01127,SEHK:01127,,,,汇星印刷集团有限公司,1010 Printing Group Limited,文化传媒,传媒出版,,制造业,造纸、印刷,印刷业,,3/9/11,http://www.1010printing.com,中国香港,香港北角英皇道625号17楼1704室,汇星印刷集团有限公司（01127.HK）主要从事向国际书籍出版商、贸易、专业及教育出版集团以及印刷媒体公司提供印刷服务。该公司印刷产品主要包括消闲及生活品味图书（包括摄影书、烹饪书及艺术书）、教科书及教材（包括中小学及大专课本）以及儿童图书。该集团主要于香港销售办事处向其客户进行销售（并由澳洲及英国销售办事处支持），而印刷服务则于中国大陆通过根据加工安排聘用独立加工代理提供。,
21控股,SEHK,港交所,01003,SEHK:01003,,,,21控股有限公司,21 Holdings Limited,综合,综合,,社会服务业,专业、科研服务业,其他专业、科研服务业,,12/31/99,N/A,中国香港,香港湾仔告士打道88号10楼,21控股有限公司（01003.HK）主要经营地产代理，在香港通过世纪21进行地产代理服务。,
361度,SEHK,港交所,01361,SEHK:01361,,,,三六一度国际有限公司,361 Degrees International Limited,制造业,服装鞋帽,,纺织、服装、皮毛,皮革、毛皮、羽绒及制品制造业,皮革制品制造业,,10/12/03,http://cn.361sport.com,福建>泉州市,福建省晋江市陈江头工业区,三六一度国际有限公司是一家集品牌、研发、设计、生产、经销为一体的综合性体育用品公司，其产品包括运动鞋、服装及相关运动配件等，下辖三六一度（中国）有限公司、三六一度（福建）体育用品有限公司、三六一度（厦门）工贸有限公司。2005年、2006年，361°相继获得“中国名牌”、“中国驰名商标”等荣誉，迅速成长为行业领跑者。,
A8新媒体,SEHK,港交所,00800,SEHK:00800,,,,A8电媒音乐控股有限公司,A8 Digital Music Holdings Limited,互联网,互联网其它,,信息技术业,计算机应用服务业,计算机网络开发、维护与咨询,,5/12/00,http://ir.a8.com,广东>深圳市,深圳市南山区科技园高新南一道富诚科技大厦5楼,"A8电媒音乐控股有限公司（00800.HK）是华语世界领先的、专注于数字音乐的电信运营服务商，中国第一音乐门户。

A8音乐集团自2004年率先全面转型音乐，积极打造以互联网和无线增值音乐服务为核心的用户消费平台；构建横跨广播、电视、平面等传统媒体和互联网、无线等新媒体相结合的全方位音乐资源传播系统；建设以“A8原创音乐社区”及遍布全球的音乐版权合作为核心的音乐内容管理平台。

现在A8音乐正以架构完善、充分整合的新音乐媒体平台为基础，为用户提供覆及短信、彩信、彩铃、WAP、IVR及互联网的全方位音乐服务，并积极倡导和推动中国本土原创音乐的繁荣发展。",
瑞声科技,SEHK,港交所,02018,SEHK:02018,,,,瑞声科技控股有限公司,AAC Technologies Holdings Inc.,电信及增值,电信及增值其他,,信息技术业,通信及相关设备制造业,广播电视设备制造业,,1/1/93,http://http://www.aactechnologies.com,广东>深圳市,深圳市南山区高新技术产业园区北区新西路18号瑞声科技大楼,"瑞声声学科技控股有限公司（2018.HK）成立于1993年，2005年8月于香港证券交易所上市，2009年年收入突破3.23亿美元，并在2009年底总共收获214项专利。

瑞声声学总部设在中国深圳，生产基地、销售以及售后点分布在中国大陆的上海、常州、苏州、沭阳、北京；亚太的韩国、台北、新加坡、香港、日本；欧洲的瑞典、德国、芬兰，美国的圣荷西、三藩市和芝加哥。瑞声声学全球网络保障我们能更接近我们的客户，更快更有效的为客户提供服务。瑞声声学全球共有4个生产基地以及7个研发中心，专注于设计，研发以及生产高质量的产品和解决方案。

瑞声声学产品和解决方案包括声学、无线射频、振动马达、微摄像头，产品种类涵盖移动通信、IT产品、消费电子、家用电器、汽车和医疗仪器等行业。",
佳讯控股,SEHK,港交所,00030,SEHK:00030,,,,佳讯(控股)有限公司,ABC Communications (Holdings) Limited,IT,软件产业,,信息技术业,计算机应用服务业,计算机软件开发与咨询,,1/1/71,http://www.hkabc.com,中国香港,香港上环干诺道中168-200号信德中心西翼29楼2912室,"佳讯（控股）有限公司（00030.HK），于1971年由何佐芝先生创办，何氏并于五零年代创办香港首个商营电台。佳讯早年经营无线传呼，开亚洲无线传呼业先河。并于1992年联同合作伙伴创办数码通电讯有限公司，成为亚洲区内首个GSM流动电话网络商。佳讯控股于九零年代亦于亚洲多项崭新流动通讯服务作策略性投资，如台湾主要流动电话服务公司远传电讯等。佳讯控股于香港联合交易所上巿。

佳讯控股自出售其香港巿场中较成熟的电讯投资项目后，于1999年转型专注于先进科技项目，集团近八成员工属软件及信息科技人才。现时致力发展以下业务。

报价王国际有限公司（QuotePower）乃集团为客户提供财经信息科技之旗舰公司，网罗财经及信息科技界的专材，致力为各大证券商及投资者提供财经信息报价服务，更为各财务机构提供网上股票交易平台。

ABC QuickSilver Limited乃集团属下之无线方案及软件发展商，由多位经验丰富的专家及技术人员组成，为企业客户及消费巿场提供无线技术应用方案。",
辰罡科技,HKGEM,香港创业板,08131,HKGEM:08131,,,,辰罡科技有限公司,ABC Multiactive Limited,IT,软件产业,应用软件,信息技术业,计算机应用服务业,计算机软件开发与咨询,,3/2/00,http://www.abcmultiactive.com,中国香港,香港中环皇后大道中88号励精中心17楼,辰罡科技有限公司（08131.HK）证券交易解决方案为银行及券商提供了完善的证券及交易所交易票据处理方案。ABCM 一直为银行和证券公司提供证券交易和结算软体的服务。自1978年创立至今，ABCM 已经向香港400多家证券公司提供了各种各样的证券软体。,
光亚,HKGEM,香港创业板,08061,HKGEM:08061,,,,光亚有限公司,AcrossAsia Limited,电信及增值,电信及增值其他,,传播与文化产业,广播电影电视业,电视,,3/6/00,http://www.across-asia.com,,香港金钟道89号力宝中心一座43楼4302室,提供有线电视、宽频网络及宽频互联网接入服务。,
动感集团,SEHK,港交所,01096,SEHK:01096,,,,动感集团控股有限公司,Active Group Holdings Limited,制造业,服装鞋帽,,批发和零售贸易,食品、饮料、烟草和家庭用品批发业,纺织品、服装、鞋帽批发业,,1/1/95,http://www.activegroup-int.com,福建>泉州市,福建省石狮市宝盖镇鞋业工业园B区,动感集团控股有限公司（01096.HK）为中国领先男装休闲鞋企业及品牌营运商之一。多年来，动感集团一直专注于开发及推广其优质时尚休闲鞋履的自有及特许品牌。该集团拥有两个自有品牌金迈王及公牛巨人，以及三个特许品牌骆驼牌、骆驼动感及哥雷夫，专向中端至中高端终端消费者的各个群体提供各类休闲鞋。我以批发形式将产品售予客户（包括分销商及百货店），客户则透过其经营及开设的零售店铺及百货店专柜将产品零售予终端消费者。,
互益集团,SEHK,港交所,03344,SEHK:03344,,,,互益集团有限公司,Addchance Holdings Limited,制造业,纺织行业,,纺织、服装、皮毛,纺织业,棉纺织业,,6/9/04,http://www.addchance.com.hk,中国香港,香港新界葵涌蓝田街15－19号宋氏大厦,"互益集团有限公司（03344.HK）2004年6月9日注册于开曼群岛，公司控股罗定互益染厂有限公司、罗定美鹏染厂有限公司、罗定忠益织造厂有限公司、张家港互益染整有限公司、岑溪互益纺织有限公司、安庆市宿松互益纺织有限公司，并于2005年10月5日在港交所上市。

互益集团主要从事生产及销售色纱及针织毛衫，在所属业界是一间比较大型的纺织公司。集团以垂直式生产，提供一站式服务，由纺纱，染色，编织，缝制至后整成品，配合丰富经验，国际证书及兼具经济规模的生产设备，使公司生产多元化。集团有超过1000多种的毛纱，包括筒子及扎装染色，毛纱包括羊毛、人造毛/羊毛、棉、人造毛/棉和麻棉等。",
