1-1-1,10915.75
1-1-2,1065
1-2-1,180562.83
1-2-2,2381
1-3-1,1658.05
1-3-2,6
1-4-1,2691.48
1-4-2,36
1-5-1,8960.75
1-5-2,48
2-1-1,14202.33
2-1-2,1186
2-2-1,374188.58
2-2-2,1384
2-3-1,872.93
2-3-2,5
2-4-1,16429.45
2-4-2,31
2-5-1,12551.08
2-5-2,42
3-1-1,13996.46
3-1-2,284
3-2-1,181958.73
3-2-2,333
3-3-1,1023.74
3-3-2,5
3-4-1,2929.72
3-4-2,31
3-5-1,7771.82
3-5-2,18
4-1-1,5723.69
4-1-2,227
4-2-1,117809.83
4-2-2,752
4-3-1,1654.79
4-3-2,6
4-4-1,5117.88
4-4-2,22
4-5-1,18946.79
4-5-2,31
5-1-1,16542.82
5-1-2,1373
5-2-1,313503.01
5-2-2,798
5-3-1,2465.72
5-3-2,28
5-4-1,2788.92
5-4-2,70
5-5-1,11954.74
5-5-2,131
6-1-1,32592.41
6-1-2,3068
6-2-1,254624.75
6-2-2,1257
6-3-1,1929.27
6-3-2,12
6-4-1,1988.33
6-4-2,48
6-5-1,8045.52
6-5-2,54
7-1-1,1394.82
7-1-2,107
7-2-1,84990.02
7-2-2,214
7-3-1,175.48
7-3-2,1
7-4-1,13.8
7-4-2,6
7-5-1,2009.68
7-5-2,9
