PARD,NASDAQ,纳斯达克市场,PARD,NASDAQ:PARD,,,,,"Poniard Pharmaceuticals, Inc.",,,,,,,,1984,www.poniard.com,United States,"300 Elliott Avenue West, Suite 530, Seattle, Washington, 98119, United States","Poniard Pharmaceuticals, Inc., a biopharmaceutical company, focuses on the development and commercialization of cancer therapeutics. Its lead platform product candidate includes Picoplatin, a platinum-based cancer therapy to treat multiple cancer indications, including small cell lung, colorectal, prostate, and ovarian cancers. The company has conducted a pivotal Phase III SPEAR trial of Picoplatin in the second-line treatment of patients with small cell lung cancer; Phase II trials evaluating picoplatin as a first-line treatment of metastatic colorectal cancer and castration-resistant prostate cancer; and a Phase I study evaluating an oral formulation of picoplatin in solid tumors. The company was formerly known as NeoRx Corporation and changed its name to Poniard Pharmaceuticals, Inc. in September 2006. Poniard Pharmaceuticals, Inc. was founded in 1984 and is based in Seattle, Washington.",Biotechnology
TELOZ,PINK,-,TELOZ,PINK:TELOZ,,,,,Tel Offshore Trust,,,,,,,,1983,-,United States,"919 Congress Avenue, Austin, Texas, 78701, United States","Tel Offshore Trust, through its interest in TEL Offshore Trust Partnership, owns 100% overriding royalty interests in certain oil and gas properties located offshore Louisiana. The company was founded in 1983 and is based in Austin, Texas.",Oil and Gas Exploration and Production
TTTM,AMEX,全美证交所,TTTM,AMEX:TTTM,,,,,"T3 Motion, Inc.",,,,,,,,2006,www.t3motion.com,United States,"Building A, 2990 Airway Avenue, Costa Mesa, California, 92626, United States","T3 Motion, Inc. designs, manufactures, and markets electric motor powered personal mobility vehicles to the professional and consumer markets in the United States and internationally. The company offers the T3 Series and the T3i Series ESV, which are three-wheel, front wheel drive, stand-up, electric personal mobility vehicles primarily for public and private security personnel. It also provides power modules and chargers; and accessories, including reversible rear tires, side-mount external storage packs, sun shades, front and rear turn indicator systems, and on-board video camera systems and digital video recorders for its T3 Series and T3i Series ESVs. In addition, the company offers T3Automatic License Plate Recognition System, a law enforcement tool that provides real-time knowledge and post-action criminal intelligence, monitoring, and analyzing of license plates; and various CCTV and camera systems. Further, it focuses on developing T3 Vision line, a consumer version of the T3 Series; R3 Series, an electric/hybrid vehicle, which is a plug-in hybrid vehicle that features a single, wide-stance wheel with two high-performance tires sharing one rear wheel; and third generation of the T3 Series units. The company sells its products directly, as well as through distributors and manufacturer’s representatives to law enforcement and securities firms. T3 Motion, Inc. was founded in 2006 and is headquartered in Costa Mesa, California.",Motorcycle Manufacturers
ENPT,OTCMKTS,-,ENPT,OTCMKTS:ENPT,,,,,"Enerpulse Technologies, Inc.",,,,,,,,-,enerpulse.com,United States,"2451 Alamo Avenue SE, Albuquerque, New Mexico, 87106, United States","Enerpulse Technologies, Inc., through its wholly-owned subsidiary, Enerpulse, Inc., designs, develops, manufactures, and markets an energy and efficiency enhancing product in the automotive industry under the Pulstar brand name. The company provides capacitor-based precise combustion ignition (PCI) technology, which enhances spark-ignited internal combustion (IC) engines in the areas of horsepower, torque, fuel economy, acceleration, combustion stability, and emissions. It offers PCI pulse plugs for the natural gas IC engine, automotive OEM, and automotive and power sports aftermarkets. The company is headquartered in Albuquerque, New Mexico.",Auto Parts and Equipment
SRSC,NASDAQ,纳斯达克市场,SRSC,NASDAQ:SRSC,,,,,Sears Canada Inc.,,,,,,,,1952,www.sears.ca,Canada,"290 Yonge Street, Suite 700, Toronto, Ontario, M5B 2C3, Canada","Sears Canada Inc. operates as a multi-format retailer in Canada. The company operates in two segments, Merchandising and Real Estate Joint Arrangements. It operates department stores that offer women’s apparel, men’s and children’s apparel, nursery products, cosmetics, jewelry, footwear, and accessories; and home and hardlines, including home furnishings and mattresses, home decors, lawn and garden products, hardware products, electronics and leisure products, and seasonal products, as well as provides appliances comprising refrigeration, laundry, floor care, and sewing products. The company also operates home stores, which offer appliances and electronics; and home improvement products, as well as provides travel and logistics services. In addition, it operates dealer stores that offer appliances, furniture, home electronics, and outdoor power equipment; outlet stores that offer clearance merchandise; appliances and mattresses stores that provide appliances, mattresses, box-springs, and products of private labels; and a chain of appliance specialty stores under the Corbeil name. Further, the company has joint arrangement interests in three shopping centers. Sears Canada Inc. offers its products directly through telephone, mail, fax, and online at sears.ca, as well as through its stores and catalogue agents. As of August 22, 2014, it operated a network of 176 corporate stores, 222 Hometown stores, approximately 1,300 catalogue and online merchandise pick-up locations, 96 Sears Travel offices, and a repair and service network. The company was formerly known as Simpsons-Sears Limited and changed its name to Sears Canada Inc. in May 1984. The company was founded in 1952 and is headquartered in Toronto, Ontario. Sears Canada Inc. is a subsidiary of Sears Holdings Corporation.",Department Stores
AUPH,NASDAQ,纳斯达克市场,AUPH,NASDAQ:AUPH,,,,,Aurinia Pharmaceuticals Inc.,,,,,,,,1993,www.auriniapharma.com,Canada,"4464 Markham Street, Suite 1203, Victoria, British Columbia, V8Z 7X8, Canada","Aurinia Pharmaceuticals Inc., a biopharmaceutical company, is engaged in the development of a therapeutic drug to treat autoimmune diseases in Canada. The company’s lead drug includes Voclosporin, a calcineurin inhibitor for the treatment of lupus nephritis. It has a development and license agreement with 3SBio Inc. for the clinical development, registration, and commercialization of voclosporin in China; and licensing and collaboration agreement with Vifor Pharma for the treatment of lupus and various proteinuric nephrology indications. The company was formerly known as Isotechnika Pharma Inc. and changed its name to Aurinia Pharmaceuticals Inc. in October 2013. Aurinia Pharmaceuticals Inc. was founded in 1993 and is headquartered in Victoria, Canada.",Biotechnology
NEWL,NASDAQ,纳斯达克市场,NEWL,NASDAQ:NEWL,,,,,NewLead Holdings Limited,,,,,,,,2005,www.newleadholdings.com,Greece,"83 Akti Miaouli & Flessa Street, Piraeus  185 38, Greece","NewLead Holdings Ltd. operates as an integrated shipping and commodity company that manages product tankers and dry bulk vessels worldwide. The company transports refined products, including gasoline and jet fuel; and dry bulk goods, such as iron ore, coal, and grains. It conducts its operations through vessel-owning companies whose principal activity is the ownership and/or operation of product tankers and dry bulk vessels. The company, under specific management agreements, also performs commercial, technical, and operational management of vessels outside of its fleet. As of December 31, 2013, it owned two dry bulk vessels and managed two double-hulled product tankers owned by third parties. In addition, NewLead Holdings Ltd. develops and mines the Five Mile mine comprising approximately 7,695 mineral acres of land located in Breathitt County, Kentucky. Further, it owns a coal wash plant and the Viking mine in Kentucky. The company was formerly known as Aries Maritime Transport Limited and changed its name to NewLead Holdings Ltd. in December 2009. NewLead Holdings Ltd. was incorporated in 2005 and is based in Piraeus, Greece.",Marine
DPLO,NYSE,纽交所,DPLO,NYSE:DPLO,,,,,"Diplomat Pharmacy, Inc.",,,,,,,,1975,diplomat.is,United States,"4100 South Saginaw Street, Flint, Michigan, 48507, United States","Diplomat Pharmacy, Inc. operates as an independent specialty pharmacy in the United States. The company stocks, dispenses, and distributes prescriptions for various biotech and specialty pharmaceuticals. It also provides specialty infusion pharmacy, patient care coordination, clinical, compliance and persistency program, patient financial assistance, specialty pharmacy training/consulting, benefits investigation, prior authorization, risk evaluation and medication strategy, retail specialty, and hub services, as well as clinical and administrative support services to hospitals and health systems. The company offers its solutions in range of specialty therapeutic categories, including oncology, immunology, hepatitis, multiple sclerosis, HIV, and infusion therapy. Diplomat Pharmacy, Inc. has seven pharmacy locations in Michigan, Illinois, Florida, California, Connecticut, and Massachusetts. The company was founded in 1975 and is headquartered in Flint, Michigan.",Drug Retail
FMSA,NYSE,纽交所,FMSA,NYSE:FMSA,,,,,Fairmount Santrol,,,,,,,,1986,www.fairmountminerals.com,United States,"8834 Mayfield Road, Chesterland, Ohio, 44026, United States","Fairmount Santrol provides sand-based proppant products to oil and gas, and industrial and recreational markets in the United States and internationally. It offers API-spec northern white frac sand, API-spec brown frac sand, and resin coated proppant; and sand and coated products for foundry, building products, sports and recreation, glassmaking, and filtration markets. Fairmount Santrol was incorporated in 1986 and is headquartered in Chesterland, Ohio.",Oil and Gas Equipment and Services
BXUC,AMEX,全美证交所,BXUC,AMEX:BXUC,,,,,ETN+ Long C linked to the S&P 500 Total Return Index,,,,,,,,2009,barxis.barcap.com/US/7/en/details.app?instrumentId=40144,United Kingdom,"1 Churchill Place, London, Greater London, E14 5HP, United Kingdom","ETN+ Long C linked to the S&P 500 Total Return Index is an exchange traded note launched by Barclays Bank PLC. The note seeks to track the performance of the S&P 500 Total Return Index. It seeks to provide leveraged returns. The index represents public equity markets of the United States. It seeks to track companies operating across diversified sectors. The index seeks to track large cap companies. It seeks to take long positions on the S&P 500 Total Return Index. The ETN will mature on November 20, 2014. ETN+ Long C linked to the S&P 500 Total Return Index was formed on November 17, 2009 and is domiciled in the United States.",Asset Management and Custody Banks
