FLWS,NasdaqGS,纳斯达克全球精选,"FLWS,FWC",NasdaqGS:FLWS, DB:FWC,,,-,1-800-Flowers.com Inc. ,,,,,,,,1976,www.1800flowers.com,United States,"Headquarters
One Old Country Road
Suite 500 
Carle Place, New York    11514
United States
Main Phone: 516-237-6000
Other Phone: 800-356-9377","1-800-FLOWERS.COM, Inc. operates as a florist and gift retailer in the United States.",Internet Retail
TFSC.U,-,-,"TFSC.U,TFSC",NasdaqCM:TFSC.U, NasdaqCM:TFSC,,,-,1347 Capital Corp.,,,,,,,,2014,www.1347capital.com,United States,"Headquarters
150 Pierce Road
6th Floor 
Itasca, Illinois    60143
United States
Main Phone: 847-700-8064","1347 Capital Corp. intends to acquire one or more operating businesses or entities through a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization, or other similar business combination.",Asset Management and Custody Banks
PIH,NasdaqCM,纳斯达克资本市场,PIH,NasdaqCM:PIH,,,,-,"1347 Property Insurance Holdings, Inc. ",,,,,,,,2012,-,United States,"Headquarters
9100 Bluebonnet Centre Boulevard
Suite 502 
Baton Rouge, Louisiana    70809
United States
Main Phone: 225-361-8747
Other Phone: 877-864-4934","1347 Property Insurance Holdings, Inc., through its subsidiary, Maison Insurance Company, provides property and casualty insurance products to individuals in Louisiana.",Property and Casualty Insurance
FCTY,NasdaqCM,纳斯达克资本市场,FCTY,NasdaqCM:FCTY,,,,-,"1st Century Bancshares, Inc. ",,,,,,,,2003,www.1stcenturybank.com,United States,"Headquarters
1875 Century Park East
Suite 1400 
Los Angeles, California    90067
United States
Main Phone: 310-270-9500","1st Century Bancshares, Inc. operates as a bank holding company for 1st Century Bank, National Association that provides a range of banking services.",Regional Banks
FCCY,NasdaqGM,纳斯达克全球市场,"FCCY,1JB",NasdaqGM:FCCY, DB:1JB,,,-,1st Constitution Bancorp ,,,,,,,,1989,www.firstconstitutionbank.com,United States,"Headquarters
2650 Route 130
PO Box 634 
Cranbury, New Jersey    08512
United States
Main Phone: 609-655-4500",1st Constitution Bancorp operates as the holding company for 1st Constitution Bank that provides commercial and retail banking services in the central and northeastern New Jersey area.,Regional Banks
SRCE,NasdaqGS,纳斯达克全球精选,SRCE,NasdaqGS:SRCE,,,,-,1st Source Corporation ,,,,,,,,1863,www.1stsource.com,United States,"Headquarters
100 North Michigan Street 
South Bend, Indiana    46601
United States
Main Phone: 574-235-2000
Other Phone: 800-513-2360","1st Source Corporation operates as the bank holding company for 1st Source Bank that provides commercial and consumer banking services, trust and investment management services, and insurance to individual and business clients.",Regional Banks
FUBC,NasdaqGS,纳斯达克全球精选,FUBC,NasdaqGS:FUBC,,,,-,"1st United Bancorp, Inc. ",,,,,,,,-,www.1stunitedbankfl.com,United States,"Headquarters
One North Federal Highway 
Boca Raton, Florida    33432
United States
Main Phone: 561-362-3431","1st United Bancorp, Inc. operates as a holding company for 1st United Bank that provides various commercial banking services to businesses and individuals.",Regional Banks
TWOU,NasdaqGS,纳斯达克全球精选,"TWOU,2U1",NasdaqGS:TWOU, DB:2U1,,,-,"2U, Inc. ",,,,,,,,2008,2u.com,United States,"Headquarters
8201 Corporate Drive
Suite 900 
Landover, Maryland    20785
United States
Main Phone: 301-892-4350
Main Fax: 202-478-1660","2U, Inc. provides cloud-based software-as-a-service (SaaS) solutions for nonprofit colleges and universities to deliver education to qualified students.",Education Services
EGHT,NasdaqGS,纳斯达克全球精选,"EGHT,EGT",NasdaqGS:EGHT, DB:EGT,,,-,8x8 Inc. ,,,,,,,,1987,www.8x8.com,United States,"Headquarters
2125 O'Nel Drive 
San Jose, California    95131
United States
Main Phone: 408-727-1885","8x8, Inc. provides unified communications and collaboration (UCC) services in the cloud for small and medium businesses, and mid-market and distributed enterprises.",Alternative Carriers
AMRK,NasdaqGS,纳斯达克全球精选,AMRK,NasdaqGS:AMRK,,,,-,"A-Mark Precious Metals, Inc. ",,,,,,,,1965,www.amark.com,United States,"Headquarters
429 Santa Monica Boulevard
Suite 230 
Santa Monica, California    90401
United States","A-Mark Precious Metals, Inc. operates as a precious metals trading company.",Specialized Finance
SHLM,NasdaqGS,纳斯达克全球精选,"SHLM,SLH",NasdaqGS:SHLM, DB:SLH,,,-,"A. Schulman, Inc. ",,,,,,,,1928,www.aschulman.com,United States,"Headquarters
3637 Ridgewood Road 
Fairlawn, Ohio    44333
United States
Main Phone: 330-666-3751
Main Fax: 330-668-7204","A. Schulman, Inc. supplies plastic compounds and resins for packaging, automotive, consumer products, and industrial applications.",Specialty Chemicals
AAON,NasdaqGS,纳斯达克全球精选,"AAON,AAO",NasdaqGS:AAON, DB:AAO,,,-,AAON Inc. ,,,,,,,,1987,www.aaon.com,United States,"Headquarters
2425 South Yukon Avenue 
Tulsa, Oklahoma    74107
United States
Main Phone: 918-583-2266
Main Fax: 918-583-6094","AAON, Inc., together with its subsidiaries, manufactures and sells air-conditioning and heating equipment in the United States and Canada.",Building Products
ASTM,NasdaqCM,纳斯达克资本市场,"ASTM,ATQP",NasdaqCM:ASTM, DB:ATQP,,,-,"Aastrom Biosciences, Inc. ",,,,,,,,1989,www.aastrom.com,United States,"Headquarters
Domino’s Farms, Lobby K
24 Frank Lloyd Wright Drive 
Ann Arbor, Michigan    48105
United States
Main Phone: 734-418-4400
Main Fax: 734-665-0485
Other Phone: 888-556-0311","Aastrom Biosciences, Inc., a clinical-stage biotechnology company, focuses on the development of cell therapies for use in the treatment of severe chronic ischemic cardiovascular diseases.",Biotechnology
ABAX,NasdaqGS,纳斯达克全球精选,"ABAX,AXS",NasdaqGS:ABAX, DB:AXS,,,-,"Abaxis, Inc. ",,,,,,,,1989,www.abaxis.com,United States,"Headquarters
3240 Whipple Road 
Union City, California    94587
United States
Main Phone: 510-675-6500
Main Fax: 510-441-6150
Other Phone: 800-822-2947","Abaxis, Inc. develops, manufactures, markets, and sells portable blood analysis systems for use in human or veterinary patient care settings to provide blood constituent measurements for clinicians worldwide.",Healthcare Equipment
ABG,-,-,"ABG,AYO,ABG,ABGO.F",CATS:ABG, XTRA:AYO, XTRA:ABG, OTCPK:ABGO.F,-,Abengoa SA ,,,,,,,,1941,www.abengoa.es,Spain,"Headquarters
Campus Palmas Altas
C/Energía Solar, 1 
Seville    41014
Spain
Main Phone: 34 954 93 71 11","Abengoa, S.A., an engineering and clean technology company, provides solutions for energy and environmental sectors worldwide.",Construction and Engineering
